token,score
▁whi,8.670814117182617
ally,8.670863591255562
dy,8.671494600334219
want,8.674774476329965
lt,8.67480995493637
▁any,8.675318324186632
low,8.675541094410718
nin,8.676220361733845
▁want,8.677495788785896
sm,8.67862236096695
▁ri,8.687083617358896
ding,8.68791365320409
ment,8.697093438140941
▁mu,8.704234033855643
▁been,8.70606446951107
been,8.70606446951107
ink,8.707325413078085
ught,8.714567400066386
ick,8.714692929876188
your,8.715040064907814
ple,8.715573003922003
very,8.716282798656625
oke,8.71848099535521
ls,8.718496747246247
▁your,8.718861890017418
▁ki,8.721287818748584
down,8.724886491887956
ning,8.72928743974018
▁tim,8.730819084814252
war,8.732546638783978
eas,8.73948590842391
▁time,8.741140362781762
eal,8.742264148606898
▁dow,8.74316218797973
▁down,8.74316218797973
can,8.74453073239493
▁are,8.745313735465622
off,8.746543230741807
ring,8.746780542091122
eye,8.74690827512544
▁get,8.751960118281668
tw,8.752831429343539
lon,8.75453982903692
sin,8.755954826124839
roun,8.75726201585346
round,8.75726201585346
par,8.757727356420332
sel,8.758171703413483
pen,8.758977043197053
▁cr,8.759797516859061
▁mor,8.76031427804335
▁sto,8.761739410500855
af,8.763085191053253
ont,8.76594347240427
ort,8.768769997288192
pre,8.769621952987341
urn,8.77269266973199
▁fin,8.777464900087834
rl,8.780368582616843
ran,8.781029239629735
car,8.782356802946886
gl,8.786244991636009
▁ey,8.786597050015882
▁eye,8.786597050015882
yes,8.787156631574613
ree,8.787550709296404
thoug,8.793145066820353
though,8.793145066820353
houg,8.793145066820353
hough,8.793145066820353
pt,8.793448627873405
▁us,8.796749806089737
mb,8.797829553611944
▁pro,8.800217757147696
▁ever,8.801685845611376
nl,8.802676185596518
▁sl,8.803262993920626
gai,8.804065118837828
til,8.804757784385824
atio,8.80490829559389
gain,8.805524718742413
lan,8.806824494119926
ation,8.811299110387296
▁sm,8.81198561520479
▁too,8.813796178674503
▁thou,8.817771961590715
tc,8.819840136265533
aga,8.823042505343528
▁fl,8.823299714664977
▁man,8.827430286000478
abl,8.82786123518563
ang,8.829812647111892
eth,8.833845471378872
who,8.835145123548513
hro,8.836874018877673
▁who,8.841722293972065
tch,8.843057418157056
head,8.843150828184637
even,8.843547655669623
sur,8.843568656219837
air,8.845817214763263
▁str,8.848963580147716
agai,8.848979416053945
again,8.848979416053945
▁aga,8.850848758181115
▁agai,8.850848758181115
▁again,8.850848758181115
thro,8.850949245757496
ons,8.851990679897838
▁pla,8.855246857840406
▁off,8.855997174581525
tar,8.864439196703874
cal,8.864463857232929
more,8.866354878346538
uch,8.867075953047696
▁by,8.868787765452586
ger,8.87193497945709
anc,8.873295940836522
▁thoug,8.873523128246557
▁though,8.873523128246557
fore,8.874534197045309
▁ea,8.87534140409331
▁can,8.876891550658774
▁lea,8.877835398314293
lk,8.879627792215812
nn,8.880471807841543
ered,8.880873918656278
act,8.886079970032451
ach,8.886348437735482
tan,8.891229564271926
fac,8.891890560350948
ade,8.896021754934313
tel,8.899581331654902
met,8.900311217743981
eg,8.909689226152205
ite,8.91345776208193
spe,8.913980385845273
oing,8.915959594097835
nds,8.918481281538998
tle,8.919600047480337
har,8.923572250722822
nder,8.92469103613233
▁thro,8.926865033054401
ene,8.931378572160618
eed,8.932708146783686
age,8.934015353029386
▁cha,8.934728258956
mil,8.936866573059572
lit,8.937588436559553
dd,8.938176921654401
▁ra,8.941271584072842
hel,8.943000529499438
ua,8.944330559232373
nly,8.94523101585374
elf,8.948784976981914
eir,8.949982565140763
▁more,8.95178164083823
fte,8.952136226494567
ass,8.953365962361767
win,8.953748073919547
oor,8.95402947638438
oa,8.955166444814308
ob,8.960599228671887
tal,8.961304178761214
hei,8.962477835794541
va,8.963704969928013
fee,8.964994075742103
les,8.965131615255288
▁now,8.966166139015842
▁eyes,8.967009260324437
eyes,8.967009260324437
ire,8.96753805812983
alk,8.969355926799313
self,8.97126658193172
▁car,8.972813989497544
▁how,8.973855299466207
▁even,8.974518189835974
turn,8.975280937608808
roug,8.977140551150972
rough,8.977140551150972
ett,8.978697081987525
ud,8.97886777517055
unt,8.979073366905764
ought,8.983244814126165
vin,8.98334020649376
▁ac,8.983927250947225
▁tu,8.98449046101771
tak,8.985404841896838
